,전체 방한 외래관광객 수,,전체 국민 해외관광객 수,,,,,,,,,,,,,,,,,,,,,
,2020,2019,2020,2019,,,,,,,,,,,,,,,,,,,,
1월,"1,272,708","1,104,803","2,513,030","2,912,331",,,,,,,,,,,,,,,,,,,,
2월,"685,212","1,201,802","1,046,779","2,617,946",,,,,,,,,,,,,,,,,,,,
3월,"83,497","1,535,641","143,366","2,334,153",,,,,,,,,,,,,,,,,,,,
4월,"29,415","1,635,066","31,425","2,246,417",,,,,,,,,,,,,,,,,,,,
5월,"30,806","1,485,684","37,802","2,401,204",,,,,,,,,,,,,,,,,,,,
6월,"36,938","1,476,218","48,353","2,495,798",,,,,,,,,,,,,,,,,,,,
7월,"61,012","1,448,067","65,936","2,642,585",,,,,,,,,,,,,,,,,,,,
8월,"68,797","1,586,299","88,888","2,427,634",,,,,,,,,,,,,,,,,,,,
9월,"65,040","1,459,664","76,798","2,049,830",,,,,,,,,,,,,,,,,,,,
10월,"61,585","1,656,195","71,970","2,153,847",,,,,,,,,,,,,,,,,,,,
11월,"61,764","1,456,429","70,686","2,090,192",,,,,,,,,,,,,,,,,,,,
12월,"62,344","1,456,888","80,973","2,342,310",,,,,,,,,,,,,,,,,,,,
